FIPS,Recip_County,Recip_State,Series_Complete_5Plus
42083,McKean County,PA,19423
41025,Harney County,OR,3338
51091,Highland County,VA,1298
19055,Delaware County,IA,9057
26125,Oakland County,MI,812573
18125,Pike County,IN,6964
18099,Marshall County,IN,20170
21201,Robertson County,KY,797
18117,Orange County,IN,10678
35011,De Baca County,NM,858
12081,Manatee County,FL,243087
55109,St. Croix County,WI,44222
22031,De Soto Parish,LA,11431
31107,Knox County,NE,3995
08051,Gunnison County,CO,11903
16019,Bonneville County,ID,61667
30009,Carbon County,MT,4975
39083,Knox County,OH,26280
72065,Hatillo Municipio,PR,26438
28029,Copiah County,MS,14736
20085,Jackson County,KS,8242
29009,Barry County,MO,15554
29119,McDonald County,MO,7226
27167,Wilkin County,MN,3298
40007,Beaver County,OK,1604
47105,Loudon County,TN,33771
48049,Brown County,TX,15355
01023,Choctaw County,AL,8079
05015,Carroll County,AR,13196
UNK,Unknown County,WY,8466
08071,Las Animas County,CO,8759
26089,Leelanau County,MI,17598
51119,Middlesex County,VA,6539
48023,Baylor County,TX,1410
55099,Price County,WI,8123
31091,Hooker County,NE,283
21095,Harlan County,KY,11755
56041,Uinta County,WY,10004
51061,Fauquier County,VA,44597
55131,Washington County,WI,76578
55127,Walworth County,WI,54410
17119,Madison County,IL,159318
18019,Clark County,IN,69526
18013,Brown County,IN,7496
48037,Bowie County,TX,35603
12075,Levy County,FL,19130
55017,Chippewa County,WI,35994
47051,Franklin County,TN,16961
37129,New Hanover County,NC,144375
48385,Real County,TX,1692
51165,Rockingham County,VA,34890
51101,King William County,VA,8675
UNK,Unknown County,AR,152637
08001,Adams County,CO,341018
05043,Drew County,AR,8504
05089,Marion County,AR,5872
13113,Fayette County,GA,69571
01115,St. Clair County,AL,34167
17153,Pulaski County,IL,2169
18003,Allen County,IN,193185
36039,Greene County,NY,28849
72109,Patillas Municipio,PR,12273
21229,Washington County,KY,5990
37065,Edgecombe County,NC,24052
29017,Bollinger County,MO,3921
29147,Nodaway County,MO,10550
48171,Gillespie County,TX,14256
48149,Fayette County,TX,12434
13013,Barrow County,GA,32232
48453,Travis County,TX,866192
20075,Hamilton County,KS,1011
26099,Macomb County,MI,482966
02185,North Slope Borough,AK,3738
46031,Corson County,SD,1650
34009,Cape May County,NJ,65722
27087,Mahnomen County,MN,3184
48467,Van Zandt County,TX,20824
19089,Howard County,IA,4636
18085,Kosciusko County,IN,31520
19187,Webster County,IA,20244
31105,Kimball County,NE,1255
04015,Mohave County,AZ,85287
16053,Jerome County,ID,10795
36119,Westchester County,NY,754924
51043,Clarke County,VA,9138
47061,Grundy County,TN,3985
20095,Kingman County,KS,3298
51079,Greene County,VA,9018
28087,Lowndes County,MS,29108
47115,Marion County,TN,12679
31017,Brown County,NE,1053
40107,Okfuskee County,OK,5483
12031,Duval County,FL,568533
13057,Cherokee County,GA,125171
20199,Wallace County,KS,559
22051,Jefferson Parish,LA,274593
06049,Modoc County,CA,0
48155,Foard County,TX,493
20031,Coffey County,KS,4244
40069,Johnston County,OK,4585
20105,Lincoln County,KS,1272
13119,Franklin County,GA,8191
22121,West Baton Rouge Parish,LA,13914
30111,Yellowstone County,MT,81309
12009,Brevard County,FL,380630
42133,York County,PA,256194
04019,Pima County,AZ,691511
29033,Carroll County,MO,4179
08003,Alamosa County,CO,8945
09007,Middlesex County,CT,132473
12083,Marion County,FL,203157
26029,Charlevoix County,MI,16499
19139,Muscatine County,IA,25396
17169,Schuyler County,IL,3720
72129,San Lorenzo Municipio,PR,26784
33011,Hillsborough County,NH,259807
37161,Rutherford County,NC,27289
21161,Mason County,KY,8488
13045,Carroll County,GA,44247
20147,Phillips County,KS,2194
51157,Rappahannock County,VA,3777
13015,Bartow County,GA,39068
38095,Towner County,ND,1025
29163,Pike County,MO,6716
55011,Buffalo County,WI,6437
36087,Rockland County,NY,202038
48267,Kimble County,TX,1843
48139,Ellis County,TX,96753
55007,Bayfield County,WI,12060
54051,Marshall County,WV,13464
32015,Lander County,NV,2158
06019,Fresno County,CA,586603
13047,Catoosa County,GA,28900
48105,Crockett County,TX,1604
48163,Frio County,TX,11952
51037,Charlotte County,VA,4496
48507,Zavala County,TX,6025
13253,Seminole County,GA,3596
30037,Golden Valley County,MT,371
32011,Eureka County,NV,536
38023,Divide County,ND,913
48201,Harris County,TX,2906376
46079,Lake County,SD,6282
41023,Grant County,OR,3228
05005,Baxter County,AR,19274
08075,Logan County,CO,8319
17203,Woodford County,IL,20699
48233,Hutchinson County,TX,7098
12015,Charlotte County,FL,121220
15005,Kalawao County,HI,0
04009,Graham County,AZ,23818
18101,Martin County,IN,4544
01061,Geneva County,AL,10351
37197,Yadkin County,NC,18123
37169,Stokes County,NC,20766
37029,Camden County,NC,6460
19107,Keokuk County,IA,4665
19191,Winneshiek County,IA,12214
32021,Mineral County,NV,2503
12023,Columbia County,FL,29401
54003,Berkeley County,WV,63216
40115,Ottawa County,OK,11801
48025,Bee County,TX,15726
72051,Dorado Municipio,PR,26795
31145,Red Willow County,NE,3883
27043,Faribault County,MN,7670
47009,Blount County,TN,67911
20197,Wabaunsee County,KS,3223
26031,Cheboygan County,MI,13895
13073,Columbia County,GA,77137
39027,Clinton County,OH,20098
28059,Jackson County,MS,66451
48121,Denton County,TX,531969
56033,Sheridan County,WY,15702
05121,Randolph County,AR,7081
13141,Hancock County,GA,3965
20099,Labette County,KS,9490
36113,Warren County,NY,48570
23015,Lincoln County,ME,27492
41031,Jefferson County,OR,15070
30041,Hill County,MT,11225
72035,Cayey Municipio,PR,33875
48447,Throckmorton County,TX,605
54021,Gilmer County,WV,4633
36029,Erie County,NY,626595
55089,Ozaukee County,WI,62734
45007,Anderson County,SC,79963
01127,Walker County,AL,29320
01131,Wilcox County,AL,5379
16017,Bonner County,ID,19285
13267,Tattnall County,GA,8143
24043,Washington County,MD,87084
18041,Fayette County,IN,8901
18071,Jackson County,IN,22820
46003,Aurora County,SD,1446
34031,Passaic County,NJ,336434
47041,DeKalb County,TN,8257
31177,Washington County,NE,11413
48495,Winkler County,TX,3019
01111,Randolph County,AL,7260
04013,Maricopa County,AZ,2472422
13287,Turner County,GA,3838
37159,Rowan County,NC,61263
72079,Lajas Municipio,PR,16737
26139,Ottawa County,MI,164158
18103,Miami County,IN,13903
22047,Iberville Parish,LA,17702
36083,Rensselaer County,NY,109620
46107,Potter County,SD,1282
49013,Duchesne County,UT,8458
05087,Madison County,AR,6992
47161,Stewart County,TN,5861
37181,Vance County,NC,24341
40073,Kingfisher County,OK,7338
48161,Freestone County,TX,7379
13223,Paulding County,GA,61124
17051,Fayette County,IL,7553
26073,Isabella County,MI,30472
49025,Kane County,UT,3835
56043,Washakie County,WY,3344
28065,Jefferson Davis County,MS,4857
27091,Martin County,MN,10666
51105,Lee County,VA,11519
54029,Hancock County,WV,18724
51125,Nelson County,VA,8270
72019,Barranquitas Municipio,PR,20790
38091,Steele County,ND,864
48253,Jones County,TX,8672
08113,San Miguel County,CO,6663
04027,Yuma County,AZ,142004
42019,Butler County,PA,118067
46103,Pennington County,SD,63776
27017,Carlton County,MN,22597
55039,Fond du Lac County,WI,55948
01003,Baldwin County,AL,110540
20181,Sherman County,KS,2549
19137,Montgomery County,IA,5456
42087,Mifflin County,PA,22379
19061,Dubuque County,IA,61473
39071,Highland County,OH,15994
17027,Clinton County,IL,22007
72061,Guaynabo Municipio,PR,73474
28147,Walthall County,MS,5719
51830,Williamsburg city,VA,5890
48027,Bell County,TX,209556
40031,Comanche County,OK,69923
46105,Perkins County,SD,913
26057,Gratiot County,MI,18341
06057,Nevada County,CA,62117
55081,Monroe County,WI,24339
19051,Davis County,IA,3225
13147,Hart County,GA,9808
53005,Benton County,WA,112578
37011,Avery County,NC,9276
53065,Stevens County,WA,17520
36117,Wayne County,NY,54990
05135,Sharp County,AR,6609
19041,Clay County,IA,8164
30065,Musselshell County,MT,1565
17151,Pope County,IL,1449
23003,Aroostook County,ME,45409
13271,Telfair County,GA,4484
47121,Meigs County,TN,8327
37005,Alleghany County,NC,6405
35005,Chaves County,NM,28021
41035,Klamath County,OR,33763
49007,Carbon County,UT,9602
27035,Crow Wing County,MN,35988
49037,San Juan County,UT,9303
05129,Searcy County,AR,3002
48137,Edwards County,TX,1560
28129,Smith County,MS,5296
48235,Irion County,TX,2074
24027,Howard County,MD,271549
25017,Middlesex County,MA,1250423
27149,Stevens County,MN,5551
11001,District of Columbia,DC,466844
31153,Sarpy County,NE,119497
39169,Wayne County,OH,51496
51067,Franklin County,VA,23898
27173,Yellow Medicine County,MN,5395
21119,Knott County,KY,6926
45057,Lancaster County,SC,43490
UNK,Unknown County,MH,23196
49041,Sevier County,UT,9194
23021,Piscataquis County,ME,10170
51595,Emporia city,VA,0
51720,Norton city,VA,0
51193,Westmoreland County,VA,8106
51063,Floyd County,VA,5908
05143,Washington County,AR,128882
21199,Pulaski County,KY,29158
55067,Langlade County,WI,10134
06007,Butte County,CA,114444
42007,Beaver County,PA,81860
49053,Washington County,UT,88127
39109,Miami County,OH,49986
19043,Clayton County,IA,8259
51530,Buena Vista city,VA,0
40071,Kay County,OK,17995
53027,Grays Harbor County,WA,43089
51710,Norfolk city,VA,166351
20111,Lyon County,KS,18493
72069,Humacao Municipio,PR,39742
48455,Trinity County,TX,5646
21093,Hardin County,KY,67290
05079,Lincoln County,AR,4442
36079,Putnam County,NY,70216
34007,Camden County,NJ,335868
41041,Lincoln County,OR,34718
48221,Hood County,TX,30451
28055,Issaquena County,MS,519
38075,Renville County,ND,886
36089,St. Lawrence County,NY,64114
40139,Texas County,OK,8564
36111,Ulster County,NY,125873
20161,Riley County,KS,28319
13155,Irwin County,GA,3369
29209,Stone County,MO,11782
18083,Knox County,IN,17747
27081,Lincoln County,MN,2951
36057,Montgomery County,NY,31977
19059,Dickinson County,IA,9854
06115,Yuba County,CA,40111
13009,Baldwin County,GA,19310
20021,Cherokee County,KS,8902
24039,Somerset County,MD,12552
72077,Juncos Municipio,PR,27291
21217,Taylor County,KY,12087
24009,Calvert County,MD,63948
27135,Roseau County,MN,7636
27053,Hennepin County,MN,911857
46089,McPherson County,SD,939
13053,Chattahoochee County,GA,26755
48475,Ward County,TX,4226
08059,Jefferson County,CO,443436
13181,Lincoln County,GA,3555
19135,Monroe County,IA,3477
47091,Johnson County,TN,6431
51023,Botetourt County,VA,16305
29063,DeKalb County,MO,3442
46025,Clark County,SD,1833
50027,Windsor County,VT,27293
39133,Portage County,OH,91061
30069,Petroleum County,MT,147
12073,Leon County,FL,162646
48043,Brewster County,TX,5281
38077,Richland County,ND,8143
38097,Traill County,ND,4284
55101,Racine County,WI,115653
35009,Curry County,NM,25109
45041,Florence County,SC,73650
51135,Nottoway County,VA,6464
48071,Chambers County,TX,20301
46019,Butte County,SD,4068
48009,Archer County,TX,5016
01109,Pike County,AL,13491
49029,Morgan County,UT,6221
37101,Johnston County,NC,106870
39029,Columbiana County,OH,48870
48211,Hemphill County,TX,1575
36003,Allegany County,NY,19806
26161,Washtenaw County,MI,255140
39123,Ottawa County,OH,24512
16081,Teton County,ID,7370
18077,Jefferson County,IN,17653
46102,Oglala Lakota County,SD,10417
39065,Hardin County,OH,11784
36121,Wyoming County,NY,20060
05045,Faulkner County,AR,62858
40117,Pawnee County,OK,7892
13193,Macon County,GA,5446
54101,Webster County,WV,3800
39157,Tuscarawas County,OH,39807
48207,Haskell County,TX,2093
48033,Borden County,TX,222
21139,Livingston County,KY,4413
05067,Jackson County,AR,6293
22045,Iberia Parish,LA,31773
15001,Hawaii County,HI,0
18143,Scott County,IN,10246
18177,Wayne County,IN,31718
36001,Albany County,NY,223059
29125,Maries County,MO,3729
45073,Oconee County,SC,34995
17021,Christian County,IL,15410
45009,Bamberg County,SC,6988
54045,Logan County,WV,17768
04003,Cochise County,AZ,77813
38089,Stark County,ND,11236
13139,Hall County,GA,89674
21035,Calloway County,KY,17336
48435,Sutton County,TX,1613
05017,Chicot County,AR,5399
55123,Vernon County,WI,16698
45085,Sumter County,SC,53318
