Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Pennsylvania,US,2021-09-25 04:31:33,40.5908,-77.2098,1415812,29064,,,42.0,11059.312736481808,16958952.0,,2.0528149217551483,84000042.0,USA,132471.22771313114,
Puerto Rico,US,2021-09-25 04:31:33,18.2208,-66.5901,180294,3117,,,72.0,5645.312293538455,2843249.0,,1.7288428899464208,630.0,PRI,89026.97002280118,
Rhode Island,US,2021-09-25 04:31:33,41.6809,-71.5118,170700,2823,,,44.0,16113.487281483838,5193012.0,,1.6537785588752196,84000044.0,USA,490202.3011985527,
South Carolina,US,2021-09-25 04:31:33,33.8569,-80.945,841600,12080,,,45.0,16345.82926921169,8646171.0,,1.435361216730038,84000045.0,USA,167928.748809897,
South Dakota,US,2021-09-25 04:31:33,44.2998,-99.4388,142800,2126,,,46.0,16141.812834097658,936222.0,,1.488795518207283,84000046.0,USA,105828.57349555026,
Tennessee,US,2021-09-25 04:31:33,35.7478,-86.6923,1209568,14817,,,47.0,17711.775977592606,9759040.0,,1.2249828037778778,84000047.0,USA,142902.20164254124,
Texas,US,2021-09-25 04:31:33,31.0545,-97.5635,4031717,63656,,,48.0,13825.06363576261,32339678.0,,1.587946613103154,84000048.0,USA,111531.97242049656,
Utah,US,2021-09-25 04:31:33,40.15,-111.8624,500698,2869,,,49.0,15617.734231078512,4158852.0,,0.573000091871747,84000049.0,USA,129722.59773833596,
Vermont,US,2021-09-25 04:31:33,44.0459,-72.7107,32610,304,,,50.0,5226.0536644075455,2038426.0,,0.932229377491567,84000050.0,USA,326676.5920553087,
Virgin Islands,US,2021-09-25 04:31:33,18.3358,-64.8963,6620,69,,,78.0,6171.458403251669,180158.0,,1.042296072507553,850.0,VIR,167951.29954879367,
Virginia,US,2021-09-25 04:31:33,37.7693,-78.17,850037,12511,,,51.0,9958.820313094026,9124966.0,,1.4718182855569817,84000051.0,USA,106905.81322588584,
